rank,seller_id,nombre,segmento,ml_level,reputacion,turbo,total_mensual,v4_mensual_total,v4_efectivo_zona,flex_zona,xd_zona,pct_cobertura_zona,pct_proximidad,ht_horas,lat,lon,tiene_integrador,tipo_integrador,integrador_nombre,nodos_activos,es_multinodo,v4_eff_acumulado,pct_vol_acum,ord_hr_acum,envios_turbo,peso_mediano_kg,lado_max_med_cm,gmv_prom_brl,pct_within_4km,opera_full
38,416497489,TVP ECOMTECH LTDA,Heavy,platinum,5_green,False,5536,104,73,38,35,70.19,1.88,24.44,-23.564891,-46.593606,True,certificado,MercadoTurbo,0,False,3946,24.09,20.9,0,0.13,16,61,1.9,true
39,310319690,ANDY IMPORTS,Heavy,platinum,5_green,False,2368,114,72,72,0,63.16,4.81,14.34,-23.566216,-46.580253,True,certificado,UpSeller ERP,0,False,4018,24.53,21.3,0,0.48,30,122,3.8,true
40,2530112510,G&G IMPORTS,Heavy,platinum,5_green,False,5040,76,71,0,71,93.42,1.51,35.75,-23.509375,-46.603669,True,certificado,UpSeller ERP,0,False,4089,24.96,21.6,0,0.08,18,34,1.6,false
41,376934766,GRUPO EX,Heavy,platinum,5_green,False,2434,94,70,70,0,74.47,3.86,16.22,-23.5217863,-46.5908712,True,certificado,UpSeller ERP,0,False,4159,25.39,22,0,0.18,20,36,3.2,true
42,104424222,ART FLEX SUPORTES INDUSTRIA LTDA,Heavy,platinum,5_green,False,4604,133,68,65,3,51.13,2.89,18.58,-23.511729,-46.592358,True,certificado,Log Manager,0,False,4227,25.8,22.4,0,1.5,32,59,2.1,true
43,283364902,THOMASBABA COMERCIO LTDA,Heavy,platinum,5_green,False,2855,72,67,63,4,93.06,2.52,18.16,-23.533923,-46.599039,True,certificado,UpSeller ERP,0,False,4294,26.21,22.7,0,0.22,20,86,2.6,true
44,569525087,LDK COMERCIO DE VARIEDADES LTDA,Heavy,platinum,5_green,False,2776,95,66,66,0,69.47,3.42,12.41,-23.535623,-46.5708358,True,certificado,Sistema ERP da Olist,0,False,4360,26.62,23.1,0,0.3,20,61,4,true
45,70184883,EMANIA,Medium,platinum,5_green,False,1332,152,64,60,4,42.11,11.41,19.41,-23.540631,-46.638462,True,certificado,VTEX Integration,0,False,4424,27.01,23.4,0,0.18,24,417,11.4,false
46,1040164443,RSR STORE,Heavy,platinum,5_green,False,4145,179,64,63,1,35.75,4.32,29.89,-23.569178,-46.636331,True,certificado,Log Manager,0,False,4488,27.4,23.7,0,,,,,false
47,7833368,G3 CONCEPT LTDA,Heavy,platinum,5_green,True,1763,82,63,55,8,76.83,4.65,19.89,-23.551086,-46.5835197,True,certificado,Sistema ERP da Olist,0,False,4551,27.78,24.1,48,0.3,20,124,4,true
48,1052937778,VIEIRA ARTIGOS,Medium,gold,5_green,True,1125,84,63,63,0,75,7.47,4.18,-23.5599204,-46.59549390000001,True,certificado,LojaHub,0,False,4614,28.17,24.4,46,0.37,23,110,7.7,true
49,746906166,ARTE INTEGRADA COMERCIO DE ARTE LTDA,Heavy,platinum,5_green,False,2473,73,62,34,28,84.93,2.95,24.87,-23.532078,-46.600581,True,certificado,Sistema ERP da Olist,0,False,4676,28.55,24.7,0,1.16,53,94,2.9,true
50,63865201,LELLO PRESENTES,Medium,platinum,5_green,True,924,73,62,59,3,84.93,7.9,17.74,-23.554049,-46.594944,True,certificado,Log Manager,0,False,4738,28.92,25.1,34,1.39,45,74,5,true
51,2442223095,XULIN VARIEDADES,Heavy,platinum,5_green,False,3384,86,61,56,5,70.93,2.54,26.9,-23.564811,-46.6037578,True,certificado,Log Manager,0,False,4799,29.3,25.4,0,0.16,19,63,2.4,true
52,294817317,D.N.A JEANS,Heavy,platinum,5_green,False,1617,66,61,61,0,92.42,4.08,16.31,-23.538241,-46.613772,True,certificado,Sistema ERP da Olist,1,False,4860,29.67,25.7,0,0.41,33,75,2.8,true
53,1649936927,UMMAIS66 COMERCIAL LTDA,Heavy,platinum,5_green,False,1630,97,61,59,2,62.89,5.95,13.68,-23.5644712,-46.6159398,True,certificado,UpSeller ERP,0,False,4921,30.04,26,0,0.71,32,56,5.6,true
54,135163273,DANIEL ACESSORIOS,Heavy,platinum,5_green,False,3103,87,61,58,3,70.11,2.8,24.47,-23.5374817,-46.628609,False,sin_integrador,,0,False,4982,30.41,26.4,0,0.07,19,28,2.5,true
55,1383082988,N JEANS CONFECCOES,Heavy,platinum,5_green,False,1812,61,60,60,0,98.36,3.37,23.36,-23.536304,-46.614429,True,certificado,UpSeller ERP,1,False,5042,30.78,26.7,0,0.2,26,41,2.1,true
56,1663299746,CASA NADIM,Heavy,platinum,5_green,False,1917,71,59,56,3,83.1,3.7,21.11,-23.5380058,-46.616707,True,certificado,Tray Commerce,0,False,5101,31.14,27,0,0.1,20,90,3.3,true
57,2014655154,ELEPHANT POLO CONFECCOES LTDA,Medium,platinum,5_green,False,1421,64,59,58,1,92.19,4.5,19.46,-23.5392592,-46.6143608,True,certificado,Predize,1,False,5160,31.5,27.3,0,0.43,28,68,3.8,true
